contribution_id,user_id,type,category,description,location,status
986,90,SERVICE,Disaster Relief,I want to offer support related to disaster relief for people in need,Bangalore,OPEN
987,22,DONATION,Education,I want to offer support related to education for people in need,Trichy,OPEN
988,149,DONATION,Disaster Relief,I want to offer support related to disaster relief for people in need,Madurai,OPEN
989,116,DONATION,Community Development,I want to offer support related to community development for people in need,Madurai,OPEN
990,248,DONATION,Disaster Relief,I want to offer support related to disaster relief for people in need,Trichy,CLOSED
991,276,DONATION,Disaster Relief,I want to offer support related to disaster relief for people in need,Chennai,CLOSED
992,14,SERVICE,Disaster Relief,I want to offer support related to disaster relief for people in need,Bangalore,OPEN
993,73,SERVICE,Food,I want to offer support related to food for people in need,Chennai,OPEN
994,139,DONATION,Clothing,I want to offer support related to clothing for people in need,Madurai,CLOSED
995,293,DONATION,Community Development,I want to offer support related to community development for people in need,Bangalore,CLOSED
996,37,DONATION,Education,I want to offer support related to education for people in need,Trichy,OPEN
997,132,DONATION,Education,I want to offer support related to education for people in need,Trichy,CLOSED
998,48,DONATION,Food,I want to offer support related to food for people in need,Bangalore,OPEN
999,82,DONATION,Disaster Relief,I want to offer support related to disaster relief for people in need,Trichy,CLOSED
1000,85,SERVICE,Food,I want to offer support related to food for people in need,Chennai,CLOSED
1001,141,DONATION,Disaster Relief,I want to offer support related to disaster relief for people in need,Trichy,OPEN
1002,91,SERVICE,Clothing,I want to offer support related to clothing for people in need,Madurai,OPEN
1003,33,SERVICE,Clothing,I want to offer support related to clothing for people in need,Trichy,OPEN
1004,158,SERVICE,Community Development,I want to offer support related to community development for people in need,Trichy,CLOSED
1005,285,SERVICE,Education,I want to offer support related to education for people in need,Bangalore,OPEN
1006,126,SERVICE,Clothing,I want to offer support related to clothing for people in need,Madurai,CLOSED
1007,174,SERVICE,Disaster Relief,I want to offer support related to disaster relief for people in need,Madurai,CLOSED
1008,172,DONATION,Food,I want to offer support related to food for people in need,Chennai,CLOSED
1009,114,SERVICE,Disaster Relief,I want to offer support related to disaster relief for people in need,Bangalore,CLOSED
1010,200,SERVICE,Food,I want to offer support related to food for people in need,Coimbatore,OPEN
1011,219,DONATION,Healthcare,I want to offer support related to healthcare for people in need,Chennai,OPEN
1012,80,DONATION,Disaster Relief,I want to offer support related to disaster relief for people in need,Bangalore,CLOSED
1013,107,SERVICE,Community Development,I want to offer support related to community development for people in need,Madurai,OPEN
1014,180,DONATION,Healthcare,I want to offer support related to healthcare for people in need,Trichy,CLOSED
1015,212,SERVICE,Community Development,I want to offer support related to community development for people in need,Chennai,CLOSED
1016,18,DONATION,Community Development,I want to offer support related to community development for people in need,Madurai,OPEN
1017,190,SERVICE,Food,I want to offer support related to food for people in need,Madurai,CLOSED
1018,31,SERVICE,Education,I want to offer support related to education for people in need,Trichy,OPEN
1019,86,DONATION,Disaster Relief,I want to offer support related to disaster relief for people in need,Trichy,OPEN
1020,137,DONATION,Food,I want to offer support related to food for people in need,Bangalore,OPEN
1021,155,DONATION,Education,I want to offer support related to education for people in need,Coimbatore,OPEN
1022,108,SERVICE,Education,I want to offer support related to education for people in need,Madurai,OPEN
1023,203,SERVICE,Healthcare,I want to offer support related to healthcare for people in need,Madurai,OPEN
1024,280,SERVICE,Food,I want to offer support related to food for people in need,Chennai,CLOSED
1025,142,SERVICE,Healthcare,I want to offer support related to healthcare for people in need,Coimbatore,CLOSED
1026,173,DONATION,Education,I want to offer support related to education for people in need,Trichy,CLOSED
1027,130,DONATION,Food,I want to offer support related to food for people in need,Coimbatore,OPEN
1028,224,SERVICE,Education,I want to offer support related to education for people in need,Madurai,OPEN
1029,238,DONATION,Clothing,I want to offer support related to clothing for people in need,Madurai,OPEN
1030,296,DONATION,Community Development,I want to offer support related to community development for people in need,Bangalore,OPEN
1031,85,SERVICE,Food,I want to offer support related to food for people in need,Coimbatore,CLOSED
1032,278,DONATION,Education,I want to offer support related to education for people in need,Trichy,OPEN
1033,241,SERVICE,Disaster Relief,I want to offer support related to disaster relief for people in need,Bangalore,OPEN
1034,245,SERVICE,Disaster Relief,I want to offer support related to disaster relief for people in need,Coimbatore,CLOSED
1035,43,SERVICE,Clothing,I want to offer support related to clothing for people in need,Madurai,OPEN
1036,42,DONATION,Food,I want to offer support related to food for people in need,Coimbatore,OPEN
1037,209,DONATION,Disaster Relief,I want to offer support related to disaster relief for people in need,Trichy,CLOSED
1038,158,DONATION,Food,I want to offer support related to food for people in need,Coimbatore,CLOSED
1039,33,SERVICE,Community Development,I want to offer support related to community development for people in need,Coimbatore,CLOSED
1040,248,SERVICE,Clothing,I want to offer support related to clothing for people in need,Coimbatore,OPEN
1041,44,SERVICE,Education,I want to offer support related to education for people in need,Coimbatore,OPEN
1042,122,SERVICE,Food,I want to offer support related to food for people in need,Madurai,OPEN
1043,79,DONATION,Clothing,I want to offer support related to clothing for people in need,Bangalore,CLOSED
1044,177,SERVICE,Healthcare,I want to offer support related to healthcare for people in need,Madurai,OPEN
1045,96,SERVICE,Disaster Relief,I want to offer support related to disaster relief for people in need,Chennai,OPEN
1046,183,SERVICE,Community Development,I want to offer support related to community development for people in need,Trichy,OPEN
1047,190,SERVICE,Clothing,I want to offer support related to clothing for people in need,Madurai,OPEN
1048,149,SERVICE,Community Development,I want to offer support related to community development for people in need,Madurai,OPEN
1049,134,SERVICE,Education,I want to offer support related to education for people in need,Coimbatore,OPEN
1050,57,DONATION,Community Development,I want to offer support related to community development for people in need,Trichy,OPEN
1051,295,DONATION,Education,I want to offer support related to education for people in need,Chennai,CLOSED
1052,283,DONATION,Community Development,I want to offer support related to community development for people in need,Trichy,CLOSED
1053,70,DONATION,Food,I want to offer support related to food for people in need,Chennai,OPEN
1054,115,DONATION,Disaster Relief,I want to offer support related to disaster relief for people in need,Coimbatore,OPEN
1055,40,SERVICE,Community Development,I want to offer support related to community development for people in need,Madurai,CLOSED
1056,123,SERVICE,Community Development,I want to offer support related to community development for people in need,Coimbatore,CLOSED
1057,168,DONATION,Disaster Relief,I want to offer support related to disaster relief for people in need,Madurai,CLOSED
1058,125,SERVICE,Community Development,I want to offer support related to community development for people in need,Coimbatore,CLOSED
1059,256,SERVICE,Clothing,I want to offer support related to clothing for people in need,Trichy,CLOSED
1060,180,SERVICE,Clothing,I want to offer support related to clothing for people in need,Madurai,OPEN
1061,296,SERVICE,Healthcare,I want to offer support related to healthcare for people in need,Chennai,CLOSED
1062,198,DONATION,Community Development,I want to offer support related to community development for people in need,Trichy,OPEN
1063,287,DONATION,Food,I want to offer support related to food for people in need,Trichy,CLOSED
1064,241,DONATION,Food,I want to offer support related to food for people in need,Madurai,CLOSED
1065,65,SERVICE,Disaster Relief,I want to offer support related to disaster relief for people in need,Madurai,CLOSED
1066,214,DONATION,Education,I want to offer support related to education for people in need,Trichy,CLOSED
1067,299,SERVICE,Clothing,I want to offer support related to clothing for people in need,Chennai,CLOSED
1068,169,SERVICE,Disaster Relief,I want to offer support related to disaster relief for people in need,Coimbatore,CLOSED
1069,287,DONATION,Community Development,I want to offer support related to community development for people in need,Trichy,OPEN
1070,258,DONATION,Disaster Relief,I want to offer support related to disaster relief for people in need,Madurai,OPEN
1071,65,SERVICE,Clothing,I want to offer support related to clothing for people in need,Madurai,OPEN
1072,273,DONATION,Disaster Relief,I want to offer support related to disaster relief for people in need,Bangalore,CLOSED
1073,272,SERVICE,Food,I want to offer support related to food for people in need,Trichy,CLOSED
1074,163,DONATION,Education,I want to offer support related to education for people in need,Trichy,OPEN
1075,144,DONATION,Community Development,I want to offer support related to community development for people in need,Madurai,CLOSED
1076,99,DONATION,Clothing,I want to offer support related to clothing for people in need,Madurai,CLOSED
1077,228,SERVICE,Food,I want to offer support related to food for people in need,Coimbatore,OPEN
1078,240,SERVICE,Community Development,I want to offer support related to community development for people in need,Chennai,CLOSED
1079,152,SERVICE,Community Development,I want to offer support related to community development for people in need,Madurai,CLOSED
1080,216,DONATION,Food,I want to offer support related to food for people in need,Trichy,OPEN
1081,281,SERVICE,Education,I want to offer support related to education for people in need,Chennai,OPEN
1082,89,DONATION,Clothing,I want to offer support related to clothing for people in need,Coimbatore,OPEN
1083,193,SERVICE,Healthcare,I want to offer support related to healthcare for people in need,Coimbatore,CLOSED
1084,89,SERVICE,Community Development,I want to offer support related to community development for people in need,Chennai,CLOSED
1085,245,DONATION,Food,I want to offer support related to food for people in need,Coimbatore,CLOSED
1086,90,DONATION,Education,I want to offer support related to education for people in need,Coimbatore,CLOSED
1087,261,DONATION,Clothing,I want to offer support related to clothing for people in need,Madurai,OPEN
1088,68,DONATION,Education,I want to offer support related to education for people in need,Chennai,CLOSED
1089,94,SERVICE,Clothing,I want to offer support related to clothing for people in need,Coimbatore,OPEN
1090,200,DONATION,Community Development,I want to offer support related to community development for people in need,Chennai,CLOSED
1091,170,SERVICE,Food,I want to offer support related to food for people in need,Madurai,OPEN
1092,34,DONATION,Community Development,I want to offer support related to community development for people in need,Coimbatore,CLOSED
1093,137,SERVICE,Disaster Relief,I want to offer support related to disaster relief for people in need,Trichy,CLOSED
1094,44,DONATION,Clothing,I want to offer support related to clothing for people in need,Coimbatore,CLOSED
1095,16,DONATION,Community Development,I want to offer support related to community development for people in need,Bangalore,CLOSED
1096,144,SERVICE,Healthcare,I want to offer support related to healthcare for people in need,Madurai,OPEN
1097,192,DONATION,Disaster Relief,I want to offer support related to disaster relief for people in need,Madurai,OPEN
1098,98,SERVICE,Education,I want to offer support related to education for people in need,Coimbatore,OPEN
1099,200,DONATION,Food,I want to offer support related to food for people in need,Chennai,CLOSED
1100,137,DONATION,Food,I want to offer support related to food for people in need,Coimbatore,CLOSED
1101,96,DONATION,Disaster Relief,I want to offer support related to disaster relief for people in need,Bangalore,OPEN
1102,214,SERVICE,Community Development,I want to offer support related to community development for people in need,Trichy,OPEN
1103,225,DONATION,Healthcare,I want to offer support related to healthcare for people in need,Bangalore,OPEN
1104,164,SERVICE,Food,I want to offer support related to food for people in need,Coimbatore,CLOSED
1105,5,SERVICE,Education,I want to offer support related to education for people in need,Chennai,OPEN
1106,26,DONATION,Clothing,I want to offer support related to clothing for people in need,Madurai,OPEN
1107,257,DONATION,Food,I want to offer support related to food for people in need,Bangalore,OPEN
1108,182,SERVICE,Clothing,I want to offer support related to clothing for people in need,Chennai,CLOSED
1109,32,DONATION,Clothing,I want to offer support related to clothing for people in need,Coimbatore,OPEN
1110,64,DONATION,Food,I want to offer support related to food for people in need,Bangalore,CLOSED
1111,164,SERVICE,Education,I want to offer support related to education for people in need,Madurai,CLOSED
1112,78,DONATION,Healthcare,I want to offer support related to healthcare for people in need,Bangalore,CLOSED
1113,236,DONATION,Food,I want to offer support related to food for people in need,Chennai,OPEN
1114,300,DONATION,Education,I want to offer support related to education for people in need,Chennai,CLOSED
1115,65,SERVICE,Healthcare,I want to offer support related to healthcare for people in need,Bangalore,CLOSED
1116,113,SERVICE,Food,I want to offer support related to food for people in need,Coimbatore,CLOSED
1117,188,DONATION,Food,I want to offer support related to food for people in need,Bangalore,CLOSED
1118,188,SERVICE,Clothing,I want to offer support related to clothing for people in need,Chennai,CLOSED
1119,156,DONATION,Clothing,I want to offer support related to clothing for people in need,Chennai,OPEN
1120,13,DONATION,Education,I want to offer support related to education for people in need,Madurai,CLOSED
1121,69,SERVICE,Food,I want to offer support related to food for people in need,Chennai,CLOSED
1122,292,DONATION,Food,I want to offer support related to food for people in need,Trichy,CLOSED
1123,28,DONATION,Education,I want to offer support related to education for people in need,Trichy,OPEN
1124,139,DONATION,Healthcare,I want to offer support related to healthcare for people in need,Coimbatore,OPEN
1125,30,DONATION,Disaster Relief,I want to offer support related to disaster relief for people in need,Coimbatore,CLOSED
1126,74,DONATION,Disaster Relief,I want to offer support related to disaster relief for people in need,Bangalore,CLOSED
1127,139,SERVICE,Education,I want to offer support related to education for people in need,Madurai,OPEN
1128,145,DONATION,Clothing,I want to offer support related to clothing for people in need,Chennai,CLOSED
1129,60,SERVICE,Community Development,I want to offer support related to community development for people in need,Madurai,OPEN
1130,159,DONATION,Disaster Relief,I want to offer support related to disaster relief for people in need,Chennai,OPEN
1131,53,SERVICE,Community Development,I want to offer support related to community development for people in need,Chennai,OPEN
1132,254,SERVICE,Clothing,I want to offer support related to clothing for people in need,Coimbatore,CLOSED
1133,75,SERVICE,Clothing,I want to offer support related to clothing for people in need,Trichy,CLOSED
1134,230,DONATION,Clothing,I want to offer support related to clothing for people in need,Bangalore,OPEN
1135,9,DONATION,Healthcare,I want to offer support related to healthcare for people in need,Chennai,OPEN
1136,122,DONATION,Disaster Relief,I want to offer support related to disaster relief for people in need,Chennai,CLOSED
1137,101,SERVICE,Community Development,I want to offer support related to community development for people in need,Madurai,CLOSED
1138,11,SERVICE,Food,I want to offer support related to food for people in need,Chennai,CLOSED
1139,55,SERVICE,Disaster Relief,I want to offer support related to disaster relief for people in need,Trichy,CLOSED
1140,3,DONATION,Education,I want to offer support related to education for people in need,Chennai,OPEN
1141,290,DONATION,Healthcare,I want to offer support related to healthcare for people in need,Chennai,CLOSED
1142,228,DONATION,Community Development,I want to offer support related to community development for people in need,Trichy,OPEN
1143,172,DONATION,Healthcare,I want to offer support related to healthcare for people in need,Trichy,CLOSED
1144,213,SERVICE,Community Development,I want to offer support related to community development for people in need,Chennai,CLOSED
1145,267,DONATION,Healthcare,I want to offer support related to healthcare for people in need,Trichy,OPEN
1146,215,SERVICE,Healthcare,I want to offer support related to healthcare for people in need,Coimbatore,OPEN
1147,173,DONATION,Healthcare,I want to offer support related to healthcare for people in need,Chennai,CLOSED
1148,192,DONATION,Disaster Relief,I want to offer support related to disaster relief for people in need,Coimbatore,CLOSED
1149,106,SERVICE,Education,I want to offer support related to education for people in need,Trichy,CLOSED
1150,152,DONATION,Food,I want to offer support related to food for people in need,Bangalore,CLOSED
1151,174,SERVICE,Community Development,I want to offer support related to community development for people in need,Bangalore,CLOSED
1152,143,SERVICE,Disaster Relief,I want to offer support related to disaster relief for people in need,Coimbatore,CLOSED
1153,119,DONATION,Healthcare,I want to offer support related to healthcare for people in need,Coimbatore,OPEN
1154,142,DONATION,Food,I want to offer support related to food for people in need,Chennai,CLOSED
1155,221,SERVICE,Education,I want to offer support related to education for people in need,Chennai,OPEN
1156,103,SERVICE,Disaster Relief,I want to offer support related to disaster relief for people in need,Trichy,OPEN
1157,249,DONATION,Education,I want to offer support related to education for people in need,Bangalore,OPEN
1158,199,DONATION,Education,I want to offer support related to education for people in need,Madurai,CLOSED
1159,260,SERVICE,Healthcare,I want to offer support related to healthcare for people in need,Bangalore,OPEN
1160,231,DONATION,Community Development,I want to offer support related to community development for people in need,Madurai,OPEN
1161,260,DONATION,Community Development,I want to offer support related to community development for people in need,Trichy,OPEN
1162,67,DONATION,Healthcare,I want to offer support related to healthcare for people in need,Coimbatore,OPEN
1163,141,SERVICE,Community Development,I want to offer support related to community development for people in need,Trichy,OPEN
1164,118,DONATION,Community Development,I want to offer support related to community development for people in need,Chennai,OPEN
1165,25,SERVICE,Education,I want to offer support related to education for people in need,Trichy,OPEN
1166,39,DONATION,Clothing,I want to offer support related to clothing for people in need,Madurai,CLOSED
1167,295,DONATION,Community Development,I want to offer support related to community development for people in need,Trichy,OPEN
1168,237,SERVICE,Clothing,I want to offer support related to clothing for people in need,Madurai,CLOSED
1169,237,DONATION,Food,I want to offer support related to food for people in need,Coimbatore,CLOSED
1170,163,SERVICE,Community Development,I want to offer support related to community development for people in need,Bangalore,CLOSED
1171,240,SERVICE,Clothing,I want to offer support related to clothing for people in need,Chennai,OPEN
1172,178,DONATION,Community Development,I want to offer support related to community development for people in need,Coimbatore,CLOSED
1173,90,DONATION,Community Development,I want to offer support related to community development for people in need,Coimbatore,CLOSED
1174,116,DONATION,Healthcare,I want to offer support related to healthcare for people in need,Coimbatore,OPEN
1175,282,SERVICE,Healthcare,I want to offer support related to healthcare for people in need,Trichy,OPEN
1176,266,DONATION,Community Development,I want to offer support related to community development for people in need,Coimbatore,OPEN
1177,5,SERVICE,Education,I want to offer support related to education for people in need,Trichy,OPEN
1178,160,DONATION,Community Development,I want to offer support related to community development for people in need,Trichy,OPEN
1179,270,DONATION,Healthcare,I want to offer support related to healthcare for people in need,Madurai,CLOSED
1180,120,SERVICE,Disaster Relief,I want to offer support related to disaster relief for people in need,Coimbatore,OPEN
1181,148,DONATION,Community Development,I want to offer support related to community development for people in need,Madurai,CLOSED
1182,247,DONATION,Community Development,I want to offer support related to community development for people in need,Bangalore,CLOSED
1183,124,SERVICE,Food,I want to offer support related to food for people in need,Coimbatore,OPEN
1184,183,SERVICE,Community Development,I want to offer support related to community development for people in need,Trichy,CLOSED
1185,22,DONATION,Healthcare,I want to offer support related to healthcare for people in need,Madurai,OPEN
1186,270,SERVICE,Community Development,I want to offer support related to community development for people in need,Bangalore,OPEN
1187,52,SERVICE,Food,I want to offer support related to food for people in need,Chennai,OPEN
1188,146,DONATION,Disaster Relief,I want to offer support related to disaster relief for people in need,Coimbatore,CLOSED
1189,230,DONATION,Healthcare,I want to offer support related to healthcare for people in need,Chennai,CLOSED
1190,78,SERVICE,Disaster Relief,I want to offer support related to disaster relief for people in need,Coimbatore,CLOSED
1191,28,DONATION,Community Development,I want to offer support related to community development for people in need,Bangalore,OPEN
1192,189,SERVICE,Disaster Relief,I want to offer support related to disaster relief for people in need,Chennai,CLOSED
1193,67,DONATION,Disaster Relief,I want to offer support related to disaster relief for people in need,Coimbatore,OPEN
1194,66,SERVICE,Healthcare,I want to offer support related to healthcare for people in need,Trichy,CLOSED
1195,8,DONATION,Disaster Relief,I want to offer support related to disaster relief for people in need,Coimbatore,CLOSED
1196,91,DONATION,Community Development,I want to offer support related to community development for people in need,Madurai,OPEN
1197,97,DONATION,Food,I want to offer support related to food for people in need,Trichy,OPEN
1198,229,SERVICE,Disaster Relief,I want to offer support related to disaster relief for people in need,Trichy,OPEN
1199,38,SERVICE,Education,I want to offer support related to education for people in need,Coimbatore,CLOSED
1200,241,DONATION,Healthcare,I want to offer support related to healthcare for people in need,Trichy,OPEN
1201,99,DONATION,Healthcare,I want to offer support related to healthcare for people in need,Trichy,OPEN
1202,68,SERVICE,Clothing,I want to offer support related to clothing for people in need,Trichy,OPEN
1203,243,DONATION,Education,I want to offer support related to education for people in need,Coimbatore,OPEN
1204,123,SERVICE,Community Development,I want to offer support related to community development for people in need,Trichy,OPEN
1205,71,SERVICE,Education,I want to offer support related to education for people in need,Madurai,OPEN
1206,113,DONATION,Community Development,I want to offer support related to community development for people in need,Madurai,OPEN
1207,269,SERVICE,Community Development,I want to offer support related to community development for people in need,Coimbatore,OPEN
1208,236,DONATION,Education,I want to offer support related to education for people in need,Madurai,CLOSED
1209,38,DONATION,Food,I want to offer support related to food for people in need,Bangalore,CLOSED
1210,259,SERVICE,Healthcare,I want to offer support related to healthcare for people in need,Madurai,OPEN
1211,217,SERVICE,Community Development,I want to offer support related to community development for people in need,Bangalore,CLOSED
1212,46,SERVICE,Food,I want to offer support related to food for people in need,Bangalore,OPEN
1213,73,DONATION,Community Development,I want to offer support related to community development for people in need,Coimbatore,OPEN
1214,275,DONATION,Disaster Relief,I want to offer support related to disaster relief for people in need,Coimbatore,CLOSED
1215,197,SERVICE,Healthcare,I want to offer support related to healthcare for people in need,Coimbatore,OPEN
1216,134,DONATION,Disaster Relief,I want to offer support related to disaster relief for people in need,Madurai,OPEN
1217,47,SERVICE,Community Development,I want to offer support related to community development for people in need,Trichy,OPEN
1218,144,DONATION,Food,I want to offer support related to food for people in need,Chennai,OPEN
1219,153,DONATION,Clothing,I want to offer support related to clothing for people in need,Madurai,OPEN
1220,298,SERVICE,Community Development,I want to offer support related to community development for people in need,Trichy,CLOSED
1221,82,SERVICE,Clothing,I want to offer support related to clothing for people in need,Trichy,CLOSED
1222,191,SERVICE,Disaster Relief,I want to offer support related to disaster relief for people in need,Bangalore,CLOSED
1223,67,SERVICE,Disaster Relief,I want to offer support related to disaster relief for people in need,Madurai,OPEN
1224,203,SERVICE,Food,I want to offer support related to food for people in need,Chennai,CLOSED
1225,27,SERVICE,Disaster Relief,I want to offer support related to disaster relief for people in need,Bangalore,CLOSED
1226,223,SERVICE,Food,I want to offer support related to food for people in need,Trichy,OPEN
1227,123,SERVICE,Clothing,I want to offer support related to clothing for people in need,Coimbatore,CLOSED
1228,234,DONATION,Education,I want to offer support related to education for people in need,Coimbatore,OPEN
1229,215,DONATION,Clothing,I want to offer support related to clothing for people in need,Trichy,OPEN
1230,216,SERVICE,Clothing,I want to offer support related to clothing for people in need,Madurai,CLOSED
1231,17,DONATION,Education,I want to offer support related to education for people in need,Bangalore,CLOSED
1232,68,SERVICE,Healthcare,I want to offer support related to healthcare for people in need,Chennai,OPEN
1233,284,DONATION,Community Development,I want to offer support related to community development for people in need,Madurai,CLOSED
1234,181,DONATION,Clothing,I want to offer support related to clothing for people in need,Chennai,OPEN
1235,84,SERVICE,Community Development,I want to offer support related to community development for people in need,Trichy,OPEN
1236,291,DONATION,Food,I want to offer support related to food for people in need,Bangalore,CLOSED
1237,54,SERVICE,Disaster Relief,I want to offer support related to disaster relief for people in need,Trichy,OPEN
1238,47,DONATION,Healthcare,I want to offer support related to healthcare for people in need,Coimbatore,OPEN
1239,285,DONATION,Education,I want to offer support related to education for people in need,Bangalore,OPEN
1240,45,DONATION,Healthcare,I want to offer support related to healthcare for people in need,Bangalore,CLOSED
1241,287,DONATION,Community Development,I want to offer support related to community development for people in need,Coimbatore,OPEN
1242,211,SERVICE,Food,I want to offer support related to food for people in need,Madurai,CLOSED
1243,105,SERVICE,Healthcare,I want to offer support related to healthcare for people in need,Bangalore,CLOSED
1244,296,DONATION,Education,I want to offer support related to education for people in need,Coimbatore,CLOSED
1245,294,SERVICE,Healthcare,I want to offer support related to healthcare for people in need,Madurai,CLOSED
1246,23,SERVICE,Clothing,I want to offer support related to clothing for people in need,Trichy,OPEN
1247,18,SERVICE,Clothing,I want to offer support related to clothing for people in need,Bangalore,OPEN
1248,70,SERVICE,Disaster Relief,I want to offer support related to disaster relief for people in need,Trichy,CLOSED
1249,222,SERVICE,Food,I want to offer support related to food for people in need,Trichy,OPEN
1250,84,DONATION,Education,I want to offer support related to education for people in need,Coimbatore,OPEN
1251,102,SERVICE,Community Development,I want to offer support related to community development for people in need,Coimbatore,CLOSED
1252,298,DONATION,Clothing,I want to offer support related to clothing for people in need,Bangalore,OPEN
1253,23,SERVICE,Clothing,I want to offer support related to clothing for people in need,Trichy,CLOSED
1254,167,SERVICE,Community Development,I want to offer support related to community development for people in need,Trichy,OPEN
1255,213,SERVICE,Community Development,I want to offer support related to community development for people in need,Trichy,CLOSED
1256,176,SERVICE,Clothing,I want to offer support related to clothing for people in need,Coimbatore,CLOSED
1257,73,DONATION,Disaster Relief,I want to offer support related to disaster relief for people in need,Chennai,CLOSED
1258,89,DONATION,Community Development,I want to offer support related to community development for people in need,Bangalore,OPEN
1259,261,DONATION,Clothing,I want to offer support related to clothing for people in need,Trichy,CLOSED
1260,144,SERVICE,Disaster Relief,I want to offer support related to disaster relief for people in need,Coimbatore,OPEN
1261,180,SERVICE,Education,I want to offer support related to education for people in need,Bangalore,OPEN
1262,263,SERVICE,Healthcare,I want to offer support related to healthcare for people in need,Trichy,OPEN
1263,114,SERVICE,Clothing,I want to offer support related to clothing for people in need,Chennai,CLOSED
1264,159,SERVICE,Education,I want to offer support related to education for people in need,Coimbatore,OPEN
1265,32,SERVICE,Clothing,I want to offer support related to clothing for people in need,Coimbatore,CLOSED
1266,237,DONATION,Education,I want to offer support related to education for people in need,Trichy,OPEN
1267,104,SERVICE,Community Development,I want to offer support related to community development for people in need,Coimbatore,CLOSED
1268,24,SERVICE,Community Development,I want to offer support related to community development for people in need,Trichy,CLOSED
1269,19,DONATION,Healthcare,I want to offer support related to healthcare for people in need,Bangalore,CLOSED
1270,131,DONATION,Clothing,I want to offer support related to clothing for people in need,Coimbatore,CLOSED
1271,170,SERVICE,Clothing,I want to offer support related to clothing for people in need,Bangalore,OPEN
1272,240,SERVICE,Community Development,I want to offer support related to community development for people in need,Chennai,OPEN
1273,203,DONATION,Education,I want to offer support related to education for people in need,Bangalore,CLOSED
1274,271,SERVICE,Food,I want to offer support related to food for people in need,Bangalore,CLOSED
1275,207,DONATION,Disaster Relief,I want to offer support related to disaster relief for people in need,Trichy,OPEN
1276,4,DONATION,Healthcare,I want to offer support related to healthcare for people in need,Chennai,OPEN
1277,163,SERVICE,Disaster Relief,I want to offer support related to disaster relief for people in need,Madurai,CLOSED
1278,26,DONATION,Disaster Relief,I want to offer support related to disaster relief for people in need,Madurai,OPEN
1279,136,DONATION,Food,I want to offer support related to food for people in need,Madurai,CLOSED
1280,247,SERVICE,Food,I want to offer support related to food for people in need,Chennai,CLOSED
1281,135,SERVICE,Disaster Relief,I want to offer support related to disaster relief for people in need,Chennai,CLOSED
1282,241,SERVICE,Community Development,I want to offer support related to community development for people in need,Chennai,CLOSED
1283,208,DONATION,Clothing,I want to offer support related to clothing for people in need,Trichy,CLOSED
1284,84,SERVICE,Education,I want to offer support related to education for people in need,Trichy,OPEN
1285,201,DONATION,Food,I want to offer support related to food for people in need,Madurai,OPEN
1286,153,SERVICE,Clothing,I want to offer support related to clothing for people in need,Bangalore,OPEN
1287,112,DONATION,Healthcare,I want to offer support related to healthcare for people in need,Bangalore,CLOSED
1288,13,SERVICE,Education,I want to offer support related to education for people in need,Bangalore,CLOSED
1289,272,SERVICE,Community Development,I want to offer support related to community development for people in need,Trichy,OPEN
1290,278,SERVICE,Healthcare,I want to offer support related to healthcare for people in need,Chennai,OPEN
1291,226,DONATION,Disaster Relief,I want to offer support related to disaster relief for people in need,Trichy,OPEN
1292,56,SERVICE,Disaster Relief,I want to offer support related to disaster relief for people in need,Bangalore,OPEN
1293,140,DONATION,Healthcare,I want to offer support related to healthcare for people in need,Trichy,OPEN
1294,191,DONATION,Disaster Relief,I want to offer support related to disaster relief for people in need,Chennai,CLOSED
1295,267,DONATION,Clothing,I want to offer support related to clothing for people in need,Bangalore,OPEN
1296,265,SERVICE,Food,I want to offer support related to food for people in need,Coimbatore,OPEN
1297,136,SERVICE,Clothing,I want to offer support related to clothing for people in need,Chennai,OPEN
1298,26,SERVICE,Clothing,I want to offer support related to clothing for people in need,Trichy,OPEN
1299,157,SERVICE,Education,I want to offer support related to education for people in need,Chennai,OPEN
1300,212,SERVICE,Community Development,I want to offer support related to community development for people in need,Trichy,OPEN
1301,194,DONATION,Clothing,I want to offer support related to clothing for people in need,Coimbatore,OPEN
1302,152,DONATION,Clothing,I want to offer support related to clothing for people in need,Chennai,OPEN
1303,95,DONATION,Healthcare,I want to offer support related to healthcare for people in need,Trichy,OPEN
1304,174,SERVICE,Food,I want to offer support related to food for people in need,Madurai,OPEN
1305,89,SERVICE,Community Development,I want to offer support related to community development for people in need,Madurai,OPEN
1306,287,SERVICE,Clothing,I want to offer support related to clothing for people in need,Trichy,OPEN
1307,127,DONATION,Clothing,I want to offer support related to clothing for people in need,Bangalore,OPEN
1308,65,SERVICE,Community Development,I want to offer support related to community development for people in need,Madurai,OPEN
1309,243,DONATION,Disaster Relief,I want to offer support related to disaster relief for people in need,Madurai,OPEN
1310,91,SERVICE,Food,I want to offer support related to food for people in need,Bangalore,CLOSED
1311,173,DONATION,Healthcare,I want to offer support related to healthcare for people in need,Chennai,OPEN
1312,289,SERVICE,Community Development,I want to offer support related to community development for people in need,Trichy,CLOSED
1313,177,SERVICE,Disaster Relief,I want to offer support related to disaster relief for people in need,Trichy,CLOSED
1314,238,DONATION,Disaster Relief,I want to offer support related to disaster relief for people in need,Chennai,OPEN
1315,28,SERVICE,Healthcare,I want to offer support related to healthcare for people in need,Chennai,CLOSED
1316,121,DONATION,Healthcare,I want to offer support related to healthcare for people in need,Chennai,CLOSED
